student_id,full_name,gender,math_score,english_score,science_score,attendance_rate,term,gpa,risk_score,engagement_level
1528-560,Patricia Brown,Female,45.0,15.0,0.0,92.14,2023_T2,20.0,1,High
2923-894,Mary Wilson,Male,20.0,29.0,12.0,76.71,2023_T1,20.33333333333333,1,Medium
8015-269,Elizabeth Davis,Male,27.0,94.0,58.0,72.92,2023_T1,59.66666666666666,50,Low
6747-645,Patricia Smith,Female,26.0,68.0,24.0,66.49,2024_T1,39.333333333333336,51,Low
6302-820,William Williams,Female,67.0,24.0,19.0,63.72,2023_T2,36.66666666666666,51,Low
5543-987,Michael Smith,Male,8.0,49.0,5.0,73.47,2024_T1,20.666666666666668,51,Low
3396-828,John Jones,Female,43.0,10.0,65.0,88.41,2023_T1,39.333333333333336,1,Medium
2526-848,Elizabeth Smith,Female,84.0,34.0,51.0,64.03,2024_T1,56.333333333333336,50,Low
3139-679,William Taylor,Female,16.0,68.0,10.0,83.09,2023_T2,31.33333333333333,1,Medium
8230-567,Mary Williams,Male,15.0,33.0,65.0,65.05,2023_T2,37.66666666666666,51,Low
5945-262,Patricia Williams,Female,27.0,46.0,38.0,72.6,2023_T1,37.0,51,Low
2350-480,Jennifer Brown,Male,19.0,0.0,71.0,66.69,2023_T1,30.0,51,Low
4836-539,Michael Brown,Male,62.0,66.0,3.0,62.91,2024_T1,43.66666666666666,50,Low
4496-588,Mary Smith,Male,46.0,37.0,14.0,94.66,2023_T1,32.333333333333336,1,High
9510-796,Elizabeth Jones,Female,98.0,56.0,52.0,68.51,2023_T1,68.66666666666667,50,Low
2160-334,John Wilson,Female,8.0,98.0,76.0,69.31,2023_T1,60.66666666666666,50,Low
3017-703,Mary Williams,Female,39.0,87.0,13.0,60.72,2023_T2,46.333333333333336,50,Low
5668-897,Mary Jones,Male,50.0,2.0,41.0,88.31,2024_T1,31.0,1,Medium
4949-611,Michael Johnson,Male,13.0,37.0,52.0,94.91,2024_T1,34.0,1,High
9951-799,Michael Davis,Male,32.0,51.0,88.0,61.84,2023_T2,57.0,50,Low
4329-927,Mary Moore,Male,47.0,29.0,11.0,93.53,2024_T1,29.0,1,High
1901-416,Linda Taylor,Male,43.0,32.0,72.0,68.81,2023_T1,49.0,50,Low
5247-270,William Moore,Female,95.0,64.0,7.0,62.59,2023_T1,55.333333333333336,50,Low
5308-829,William Johnson,Male,45.0,46.0,14.0,96.43,2023_T2,35.0,1,High
3577-361,John Davis,Male,20.0,50.0,37.0,66.82,2024_T1,35.666666666666664,51,Low
9336-102,Mary Jones,Male,28.0,50.0,3.0,83.67,2023_T1,27.0,1,Medium
5444-945,Michael Davis,Male,87.0,33.0,90.0,70.51,2024_T1,70.0,50,Low
6362-188,Robert Brown,Female,11.0,5.0,89.0,74.47,2023_T1,35.0,51,Low
8600-477,Elizabeth Jones,Female,98.0,39.0,13.0,73.25,2023_T1,50.0,50,Low
2391-694,Jennifer Wilson,Male,40.0,16.0,87.0,63.48,2024_T1,47.66666666666666,50,Low
5778-367,John Jones,Female,12.0,63.0,10.0,94.97,2023_T2,28.33333333333333,1,High
8417-378,Jennifer Davis,Male,10.0,76.0,45.0,61.79,2023_T1,43.66666666666666,50,Low
2785-259,Patricia Williams,Male,39.0,18.0,75.0,66.61,2023_T1,44.0,50,Low
8404-415,Jennifer Jones,Female,44.0,89.0,91.0,72.37,2023_T2,74.66666666666667,50,Low
4522-955,Elizabeth Smith,Female,29.0,46.0,86.0,60.08,2023_T1,53.66666666666666,50,Low
6828-505,Mary Jones,Male,83.0,81.0,17.0,61.62,2024_T1,60.333333333333336,50,Low
3848-131,Robert Brown,Female,93.0,32.0,35.0,64.58,2023_T2,53.333333333333336,50,Low
5093-196,William Moore,Female,18.0,27.0,39.0,74.76,2023_T1,28.0,51,Low
7098-802,Patricia Miller,Male,1.0,62.0,28.0,89.99,2024_T1,30.33333333333333,1,Medium
